slug,kind,title,url,status,checked,deadline,note
wajima,housing,建設型応急住宅の空き住戸の有効活用について,https://www.city.wajima.ishikawa.jp/article/2026082000026/,open,2026-09-02,,
hakui,risai,罹災（被災）証明書,https://www.city.hakui.lg.jp/soshiki/soumubu/soumu/15/17418.html,open,2026-09-02,,
hakui,support,大雨災害に便乗した犯罪に気をつけましょう,https://www.city.hakui.lg.jp/soshiki/soumubu/soumu/15/14672.html,open,2026-09-02,,
hakui,vc,災害ボランティア情報,https://www.city.hakui.lg.jp/soshiki/soumubu/soumu/15/17417.html,open,2026-09-02,,
nomi,support,被災者支援・災害派遣,https://www.city.nomi.ishikawa.jp/saigai/saigaishien/,open,2026-09-02,,
shika,risai,8月27日豪雨の罹災（被災）証明書の交付について,https://www.town.shika.lg.jp/page/10437.html,open,2026-09-02,,
shika,vc,志賀町災害ボランティアセンターが開設されました,https://www.town.shika.lg.jp/page/10439.html,open,2026-09-02,,
hodatsushimizu,hub,令和8年8月27日からの大雨に関する情報（石川県）,https://www.pref.ishikawa.lg.jp/kouhou/ooame/260501ooamejouhou.html,open,2026-09-02,,
hodatsushimizu,risai,令和8年8月27日の大雨に伴う罹災証明書（被災証明書）と罹災届出書について(令和8年8月31日受付開始),https://www.hodatsushimizu.jp/kinkyu/9244.html,open,2026-09-02,,
hodatsushimizu,waste,災害廃棄物仮置き場の開設について,https://www.hodatsushimizu.jp/kinkyu/9246.html,open,2026-09-02,,
hodatsushimizu,housing,大雨で浸水被害を受けた住宅の応急修理について,https://www.hodatsushimizu.jp/kinkyu/9253.html,open,2026-09-02,,
hodatsushimizu,housing,【9月5日まで受付】大雨で浸水被害を受けた住宅の緊急修理について,https://www.hodatsushimizu.jp/kinkyu/9248.html,open,2026-09-02,,
nakanoto,risai,令和8年8月27日からの大雨に伴う罹災証明書等交付について,https://www.town.nakanoto.ishikawa.jp/kinkyu/10498.html,open,2026-09-02,,
nakanoto,support,被災された方への支援等のご案内（令和8年9月1日）,https://www.town.nakanoto.ishikawa.jp/kinkyu/10470.html,open,2026-09-02,,
nakanoto,support,豪雨災害に便乗した悪質商法等にご注意ください！,https://www.town.nakanoto.ishikawa.jp/kinkyu/10493.html,open,2026-09-02,,
nakanoto,waste,大雨被害によるごみの処分料金の減免についてのご案内,https://www.town.nakanoto.ishikawa.jp/kinkyu/10481.html,open,2026-09-02,,
nakanoto,vc,災害ボランティアセンターについて,https://www.town.nakanoto.ishikawa.jp/kinkyu/10491.html,open,2026-09-02,,
toyama,risai,り災・災害支援,https://www.city.toyama.lg.jp/health/saigai/index.html,open,2026-09-02,,
takaoka,hub,令和8年8月27日からの大雨に係る支援・対応等関連情報,https://www.city.takaoka.toyama.jp/emergency/14249.html,open,2026-09-02,,
takaoka,risai,罹災調査の受付,https://www.city.takaoka.toyama.jp/soshiki/shisanzeika/2/1/1/12839.html,open,2026-09-02,,
takaoka,waste,災害ごみの処理,http://www.city.takaoka.toyama.jp/gyosei/kurashi_tetsuzuki/gomi_recycle/1/14205.html,open,2026-09-02,,
takaoka,housing,住宅の応急修理(日常生活に必要な最小限度の部分の修理),https://www.city.takaoka.toyama.jp/soshiki/kenchikuseisakuka/2/1/2/reiwa8nennsuigai/14247.html,open,2026-09-02,,
takaoka,housing,令和8年8月27日からの大雨に伴う災害により被災された方への賃貸型応急住宅の一次提供について,https://www.pref.toyama.jp/1507/chintaigatar8.html,open,2026-09-02,,
takaoka,vc,高岡市災害ボランティアセンター,https://takaoka-vc.jimdofree.com/,open,2026-09-02,,
uozu,hub,（令和８年８月27日）大雨に関する魚津市からの最新情報,https://www.city.uozu.toyama.jp/event-topics/svTopiDtl.aspx?servno=16149,open,2026-09-02,,
himi,hub,令和8年8月大雨に関する情報【まとめ】,https://www.city.himi.toyama.jp/emergency/15186.html,open,2026-09-02,,
himi,risai,【被災証明】罹災証明書（り災証明書）の受付は8月30日（日曜日）からです,https://www.city.himi.toyama.jp/gyosei/soshiki/zeimu/1/1/9239.html,open,2026-09-02,,
himi,support,【義援金】令和8年8月豪雨による災害義援金の受付について,https://www.city.himi.toyama.jp/gyosei/soshiki/kaikei/15220.html,open,2026-09-02,,
himi,business,【大雨関連】被災した中小企業者の方向け 富山県融資制度「災害対応資金」の適用について,https://www.city.himi.toyama.jp/gyosei/soshiki/shokokanko/2/4/15195.html,open,2026-09-02,,
himi,business,氷見商工会議所「令和8年豪雨災害特別相談窓口」,https://himi.ccis-toyama.or.jp/shinchaku5.html,open,2026-09-02,,
himi,waste,【災害ごみ】令和8年8月27日からの大雨により発生した災害ごみの仮置場を開設します,https://www.city.himi.toyama.jp/gyosei/soshiki/kankyo/1/1/15198.html,open,2026-09-02,,
himi,housing,【住宅の応急修理】令和8年8月大雨にかかる住宅の応急修理（住家の被害の拡大を防止するための緊急の修理）について,https://www.city.himi.toyama.jp/gyosei/soshiki/toshikeikaku/6/15192.html,open,2026-09-02,,
himi,housing,【住宅の応急修理】令和8年8月大雨にかかる住宅の応急修理（日常生活に必要な最小限度の部分の修理）について,https://www.city.himi.toyama.jp/gyosei/soshiki/toshikeikaku/6/15191.html,open,2026-09-02,,
himi,housing,【住宅】令和8年8月27日からの大雨に伴う災害により被災された方への住宅の一時提供について,https://www.city.himi.toyama.jp/gyosei/soshiki/toshikeikaku/6/15224.html,open,2026-09-02,,
himi,housing,【住宅】民間の賃貸型応急住宅の提供について,https://www.city.himi.toyama.jp/gyosei/soshiki/toshikeikaku/6/15222.html,open,2026-09-02,,
himi,vc,「氷見市災害ボランティア・支え合いセンター」ホームページ,https://himivc-toyama.jimdofree.com/,open,2026-09-02,,
imizu,hub,令和8年8月27日からの大雨に伴う災害に係る支援・対応等関連情報,https://www.city.imizu.toyama.jp/event-topics/svTopiDtl.aspx?servno=33278,open,2026-09-02,,
imizu,risai,罹災証明書・罹災届出証明書の申請について,https://www.city.imizu.toyama.jp/guide/svguidedtl.aspx?servno=53908,open,2026-09-02,,
